الدوري,الفريق الاول,الفريق الثاني,موعد المباراة,نتيجة المباراة
دوري الأمم الأوروبية,لاتفيا,ليشتنشتاين,18:00,1 - 0
دوري الأمم الأوروبية,كرواتيا,فرنسا,20:45,1 - 1
دوري الأمم الأوروبية,أيسلندا,البانيا,20:45,1 - 1
دوري الأمم الأوروبية,بيلاروسيا,إذربيجان,20:45,0 - 0
دوري الأمم الأوروبية,سلوفاكيا,كازاخستان,20:45,0 - 1
دوري الأمم الأوروبية,اندورا,مولدوفا,20:45,0 - 0
دوري الأمم الأوروبية,النمسا,الدنمارك,22:15,1 - 2
تصفيات أمم إفريقيا,غينيا الاستوائية,ليبيا,21:00,2 - 0
مباريات ودية - منتخبات,المكسيك,إكوادور,01:30,0 - 0
مباريات ودية - منتخبات,اليــــابان,البرازيل,12:20,0 - 1
مباريات ودية - منتخبات,كوريا الجنوبية,تشيلي,13:00,2 - 0
